,t,vx,vy,Vx,Vy,Vr,oz_deg,oz_rad,delta_deg,delta_rad,turn_rX,turn_rY,turn_rR,au,av,ax,ay,ar,Ax,Ay,Ar,alphaz,alphaz_deg,beta_deg,beta_rad,lf_fx,lf_fy,rf_fx,rf_fy,rr_fx,rr_fy,lr_fx,lr_fy,lf_alpha,rf_alpha,rr_alpha,lr_alpha,lf_lock,rf_lock,rr_lock,lr_lock,lf_fz,rf_fz,rr_fz,lr_fz,theta_rad,theta_deg,Fx,Fy,Mz,Dx,Dy
29,2.9,23.026657953063562,-5.547307155400486,24.914840065568427,14.065663035457236,28.611049126515475,30.116179258465447,0.5256264861810463,21.818181818181817,0.3807991095260355,26.759806450492434,47.40027513945859,54.43228200768541,-3.1227498591271523,11.736908245927172,-5.926002476419353,-0.7215978927034019,5.9697746079129566,-10.36681886016188,6.327372960129966,12.145228769191295,0.2815888076146633,16.133850234441507,29.446883076240148,0.5139450641301869,-176.80157044545018,441.6289727645973,-114.1378574235391,285.10258478197136,0.0,142.6367462615216,0.0,224.1324644459941,0.47768063048344545,0.4903885567824528,0.39746247542603247,0.35508239977389777,0.0,0.0,0.0,0.0,1149.7433049523966,724.513494666335,409.43816348947814,716.3050368917906,0.7627641704806656,43.70316773233935,,,,82.71059402095139,11.934049729613815
30,3.0,22.43309908084511,-5.586754779612194,24.60723440260759,15.254311783595139,28.95185681326854,31.329274025642736,0.5467989840070041,21.818181818181817,0.3807991095260355,27.897476458002604,45.00234112046629,52.947897966280216,-3.02936340008957,12.03606671683089,-5.945174967949703,-0.06735459153075674,5.945556495445656,-10.845070846401665,6.03559300800967,12.411444098967957,0.1418611489044929,8.128045109104365,31.79525700891661,0.5549319213233989,-174.53719221599695,435.9728293892618,-107.70163387930455,269.0256755941052,0.0,163.89776183184316,0.0,252.47640866592852,0.48657335656249745,0.5011604130802555,0.4204676015239176,0.3740321893136336,0.0,0.0,0.0,0.0,1115.8930384252105,670.1757382018839,446.13978170896394,767.7914416639419,0.8163854439900681,46.77544039654476,,,,85.18669774436019,13.400048470566436
31,3.1,21.831919710247316,-5.593252094821679,24.304587202272216,16.466305323080466,29.357318850088514,32.03128760556763,0.5590514323704059,21.818181818181817,0.3807991095260355,29.4540079313678,43.474689080429606,52.51273344495697,-3.0235806066179305,12.203804072875622,-6.078412444006153,-0.06259171265894281,6.0787347007368595,-11.286716433630021,5.539395786606847,12.572783046479872,0.10318781836354161,5.9122264893934675,34.11755519481804,0.5954636708804703,-175.01624742414174,437.1694514494476,-106.68380909305671,266.4832721885672,0.0,169.73927995532156,0.0,263.6083758671253,0.48564562118019405,0.5011589129079995,0.44009811905218427,0.38886204437427063,0.0,0.0,0.0,0.0,1120.922171869557,663.8441194620752,442.6917838778762,772.5419247904919,0.8716779648089386,49.943468478105274,,,,87.63228882460417,14.986079325900217
32,3.2,21.22043296987592,-5.589105519274179,24.002187833531174,17.694029987175167,29.819183724293424,32.54067844939143,0.5679419797746433,21.818181818181817,0.3807991095260355,31.154643638415447,42.261689905463804,52.50392608083934,-3.0244067682029447,12.350689209018402,-6.1513223634217775,0.14552322360894365,6.15304346054393,-11.69884770431876,4.982321008171901,12.715603022952369,0.07462312972120723,4.2755903870824294,36.39704752776183,0.6352483173643061,-175.47175301862657,438.30724941851554,-106.30527507481544,265.53773992202025,0.0,174.62427489395165,0.0,272.2160657982827,0.48553890468728195,0.5018803707521812,0.45619585016159153,0.4009943680358642,0.0,0.0,0.0,0.0,1124.0668165166298,660.6188206865437,440.43367774838214,774.8806850484444,0.928027635416191,53.17206678085323,,,,90.04762757639435,16.694096091413
33,3.3,20.602756298502822,-5.559602022878888,23.699571324608318,18.936390518470255,30.33573086045904,32.893598964751625,0.5741016047655141,21.818181818181817,0.3807991095260355,32.98438875851014,41.281144535884316,52.84035196670346,-3.027923410254211,12.496521416883319,-6.202211064040174,0.44454670429687404,6.218122212951718,-12.087598927838126,4.384212570201806,12.858124579462938,0.04856937009620825,2.782819920121642,38.6254937206782,0.6741420406342296,-176.0189649225818,439.67411867436795,-106.08570062905272,264.98926947188096,0.0,179.25683895768745,0.0,280.35195459326707,0.48587169754414394,0.5030642405031372,0.47159201051926075,0.41256637021496095,0.0,0.0,0.0,0.0,1126.8616107553476,657.8355491388805,438.41521225313,776.8876278526423,0.9851298146431989,56.44378065156039,,,,92.43271553430131,18.525617116695265
34,3.4,19.981594532689957,-5.4975606634815914,23.39671276364437,20.192434386175037,30.90534864039659,33.10211022696078,0.577740812818553,21.818181818181817,0.3807991095260355,34.950680198036714,40.496901455692054,53.4934488869195,-3.029247809024768,12.624355937212325,-6.221024252217136,0.7962804836490527,6.271778484235085,-12.431002710105366,3.744446119156011,12.982707927004654,0.024214790964570836,1.3874053240614286,40.79569671280996,0.7120192282835615,-176.44480729394124,440.7378214941408,-105.7832494474967,264.23378294376084,0.0,183.385346907527,0.0,287.8252788296327,0.48584021291699386,0.5037943808212918,0.485807563583935,0.42311957177032505,0.0,0.0,0.0,0.0,1129.6551745664583,655.0910328514514,436.3924121670738,778.8613804150168,1.0427219355224022,59.743566111146,,,,94.78752973871394,20.482058361927532
35,3.5,19.36045014305423,-5.398716142304677,23.093965454480216,21.45989181336647,31.525516602493905,33.175088337011566,0.5790145211208221,21.818181818181817,0.3807991095260355,37.062786908738794,39.88495039774872,54.44684969466512,-3.0256983742582806,12.724792606616287,-6.201863540497439,1.1806099398892353,6.3132361911397465,-12.71459318576845,3.068276006782337,13.07957176414372,0.0012593750808098628,0.07215687695435213,42.89954041404048,0.7487382278173779,-176.54927533364582,440.99877004196895,-105.3480887276846,263.1468040148185,0.0,187.0214954407767,0.0,294.37261434867366,0.48501585968909033,0.5035606290270117,0.49850153348923404,0.4323545481271263,0.0,0.0,0.0,0.0,1132.0917130967428,652.6729660561673,434.63151458416223,780.603806262928,1.100559702219371,63.05742603934462,,,,97.11206364962017,22.56467467190461
36,3.6,18.74330076892407,-5.260669914363201,22.7919210907522,22.7356462630575,32.19287619964944,33.11995353488946,0.5780522372913557,21.818181818181817,0.3807991095260355,39.33147351802057,39.42882601328708,55.69198443119816,-3.01518890030199,12.79029638720438,-6.141123942105784,1.5803146189402835,6.341198433036239,-12.926532545143136,2.363853239182384,13.140892122570587,-0.020505051670136904,-1.1748529193965245,44.92917898616032,0.7841621035263454,-176.1884971017516,440.0975895855633,-104.72972342327849,261.6022021569837,0.0,190.15308498551974,0.0,299.7896438189252,0.4830669261630085,0.5019534365321892,0.5093753586692561,0.4400182303827547,0.0,0.0,0.0,0.0,1133.9740370370207,650.7411372236577,433.280026339066,782.0047994002558,1.15841304013998,66.37217813293967,,,,99.4063579768818,24.77445157572581
37,3.7,18.13440079658819,-5.082672212338383,22.491364971188958,24.01587340068059,32.90324715684978,32.943101020122974,0.5749655786182486,21.818181818181817,0.3807991095260355,41.76923679221857,39.11775905827263,57.22646429708458,-2.9959334909628517,12.814246365257429,-6.0368755046118245,1.979639421556083,6.353175434187315,-13.05703046409553,1.6414879991846836,13.15980727031312,-0.041228121792004156,-2.3621973759331745,46.87748479750357,0.8181664547700246,-175.2423389917436,437.73420088294625,-103.88189929672082,259.4844398704082,0.0,192.7637322897033,0.0,303.8915119188144,0.4797152006978029,0.49861748528665817,0.5181444489945041,0.445876330952912,0.0,0.0,0.0,0.0,1135.1445237929665,649.4240720940142,432.4557452579186,782.9756588551008,1.2160639309354602,69.6753308606903,,,,101.67052227997885,27.112027558912715
38,3.8,17.53811771747891,-4.865481812273499,22.193247071236833,25.296126960275817,33.65166050517203,32.65025432004781,0.5698544394983367,21.818181818181817,0.3807991095260355,44.390506078262554,38.94546665421146,59.05308123035208,-2.966424508079672,12.790824826647142,-5.8887860775737035,2.3641685797415857,6.345635865763433,-13.098512030878965,0.9131575357120179,13.130303656355728,-0.060994660606234395,-3.4947366255700945,48.73830107552515,0.8506438255962073,-173.61134049374994,433.66016359111245,-102.7636136751636,256.69109742971926,0.0,194.8328268910293,0.0,306.50766612358694,0.4747341531871045,0.49325268041003306,0.5245339673662438,0.4497101254041734,0.0,0.0,0.0,0.0,1135.4650022698354,648.8350334020906,432.2618490674281,783.4381152606461,1.2733049318412895,72.95499862769883,,,,103.90475288210014,29.577627576960527
